UserID,Gender,Age,Genre,Previous Ratings,Predicted Rating
1,Female,25,Escapist,4.5,4.0
2,Male,30,Serious,3.8,3.5
3,Female,22,Escapist,4.0,4.2
4,Male,28,Serious,3.5,3.0
5,Female,35,Escapist,4.7,4.5
6,Male,20,Serious,4.2,4.0
7,Female,27,Escapist,3.0,3.5
8,Male,32,Serious,4.1,3.8
9,Female,24,Escapist,4.4,4.1
10,Male,29,Serious,3.2,3.4
11,Female,31,Escapist,4.8,4.6
12,Male,21,Serious,2.8,3.0
13,Female,26,Escapist,4.1,4.3
14,Male,33,Serious,3.6,3.7
15,Female,23,Escapist,4.3,4.0
16,Male,27,Serious,3.9,3.2
17,Female,30,Escapist,4.6,4.4
18,Male,34,Serious,3.3,3.6
19,Female,29,Escapist,4.5,4.2
20,Male,25,Serious,3.7,3.8
21,Female,22,Escapist,4.9,4.8
22,Male,31,Serious,3.1,3.3
23,Female,24,Escapist,4.2,4.5
24,Male,30,Serious,3.0,3.1
25,Female,26,Escapist,4.4,4.2
26,Male,28,Serious,3.8,3.5
27,Female,27,Escapist,4.3,4.1
28,Male,32,Serious,2.7,2.9
29,Female,25,Escapist,4.6,4.4
30,Male,26,Serious,2.9,3.0
